x_title,cat_list,cat_list_index
"""cabinet maker"" and ""cabinet sales assistant""","['manufacturing & operations', 'process & assembly']","[20, 36]"
"""cafe sales person/barista"" for society","['hospitality & tourism', 'bar staff & baristas']","[14, 19]"
"""wanted"" - full time professional baristas","['hospitality & tourism', 'bar staff & baristas']","[14, 19]"
### cafe foh required for weekends ###,"['hospitality & tourism', 'bar staff & baristas']","[14, 19]"
$$$$$ painters & labourers $$$$,"['trades & services', 'painting']","[0, 26]"
$1000 start up fee* contractors - warkworth,"['transport & logistics', 'drivers & couriers', 'couriers']","[28, 43, 133]"
"$2,000 start up fee* contractors – hawkes bay","['transport & logistics', 'drivers & couriers', 'couriers']","[28, 43, 133]"
$22ph - reach/stockpicker operators - akl,"['transport & logistics', 'warehouse & distribution']","[28, 81]"
$25.50ph - class 2 or class 2-4 driver/operator,"['construction & roading', 'machine operators']","[8, 9]"
$65k energy sales specialist,"['hr & recruitment', 'recruitment']","[76, 88]"
"$70k energy sales specialist ,jobid:zr_7_job,","['sales', 'sales support']","[57, 148]"
(advertised with 3249822) cleaners - part time,"['trades & services', 'cleaning']","[0, 86]"
(akl) carpenter / skilled formworker,"['trades & services', 'building & carpentry']","[0, 33]"
(akl) linehaul administrator,"['office & administration', 'administration']","[30, 31]"
(akl) maintenance / depot supervisor (cement indus,"['transport & logistics', 'freight forwarders']","[28, 135]"
(chc) afternoon factory hammerhands required !!!,"['manufacturing & operations', 'process & assembly']","[20, 36]"
(chc) civil hammerhand,"['trades & services', 'building & carpentry']","[0, 33]"
(chc) concrete labourer (with full licence),"['construction & roading', 'labouring']","[8, 66]"
(chc) roofing labourers,"['trades & services', 'labourers']","[0, 1]"
(chc) senior recruitment consultant,"['hr & recruitment', 'recruitment']","[76, 88]"
(chc) traffic controllers (tcs),"['construction & roading', 'traffic management']","[8, 143]"
(cro) stms,"['construction & roading', 'traffic management']","[8, 143]"
(dun) plumber,"['trades & services', 'plumbing']","[0, 114]"
(dun) reliable labourers,"['trades & services', 'labourers']","[0, 1]"
(dun)fitter / turner,"['engineering', 'industrial']","[47, 83]"
(hlz) piling rig operator,"['construction & roading', 'machine operators']","[8, 9]"
(int) payroll support / administrator,"['accounting', 'payroll']","[10, 139]"
(inv) hammerhands,"['trades & services', 'building & carpentry']","[0, 33]"
(inv) labourers,"['trades & services', 'labourers']","[0, 1]"
(npe) security guard,"['trades & services', 'security']","[0, 56]"
(npl) class 4 truck driver,"['transport & logistics', 'drivers & couriers', 'truck ht']","[28, 43, 44]"
(qt) fabricator welder,"['trades & services', 'boilermakers & welders']","[0, 52]"
(senior) management accountant,"['accounting', 'accountants', 'management accountants']","[10, 11, 42]"
(wan) window installers,"['trades & services', 'labourers']","[0, 1]"
(wel) loader operator,"['construction & roading', 'machine operators']","[8, 9]"
(work remotely) senior infrastructure engineer,"['it', 'systems engineers']","[2, 124]"
* painters*,"['trades & services', 'painting']","[0, 26]"
** hugo boss auckland - retail assistant **,"['retail', 'retail assistants']","[71, 72]"
** specialist screen operator/,"['manufacturing & operations', 'machine operation']","[20, 21]"
*** builders/carpenters needed now ***,"['trades & services', 'building & carpentry']","[0, 33]"
*** shepherd ***,"['agriculture, fishing & forestry', 'farming']","[34, 35]"
"***apply today, start immediately!***","['hospitality & tourism', 'bar staff & baristas', 'retail', 'retail assistants']","[14, 19, 71, 72]"
"***apply today, start tomorrow!!!***","['hospitality & tourism', 'bar staff & baristas']","[14, 19]"
***front of house***,"['hospitality & tourism', 'waiting staff']","[14, 95]"
***registered electrician needed***,"['trades & services', 'electrical']","[0, 13]"
***sport minded people wanted!***,"['sales', 'sales reps', 'marketing, media & communications', 'advertising']","[57, 84, 40, 125]"
**construction labourers**,"['trades & services', 'labourers']","[0, 1]"
**experienced class 5 89k-105k a year****,"['transport & logistics', 'drivers & couriers', 'truck ht']","[28, 43, 44]"
**general labourer**,"['construction & roading', 'labouring']","[8, 66]"
**plumber/gasfitter needed!**,"['trades & services', 'plumbing']","[0, 114]"
*building hammer hand or apprentice*,"['trades & services', 'building & carpentry']","[0, 33]"
*civil machine operators*,"['construction & roading', 'machine operators']","[8, 9]"
*concrete workers*,"['construction & roading', 'labouring']","[8, 66]"
*contract tipper truck and trailer driver*,"['transport & logistics', 'drivers & couriers', 'truck ht']","[28, 43, 44]"
*housemaid required*,"['hospitality & tourism', 'housekeeping']","[14, 144]"
+qualified builders +apprentices +hammerhands,"['trades & services', 'building & carpentry']","[0, 33]"
.net developer,"['it', 'programming & development']","[2, 65]"
.net innovation tech lead,"['it', 'programming & development']","[2, 65]"
.net software engineer,"['it', 'programming & development']","[2, 65]"
.net web developer,"['it', 'programming & development']","[2, 65]"
1.5t to 6t excavator operator,"['construction & roading', 'machine operators']","[8, 9]"
10 plasterboard fixers!,"['trades & services', 'labourers']","[0, 1]"
10+ motivated guys & girls wanted,"['hospitality & tourism', 'bar staff & baristas']","[14, 19]"
12t digger operator,"['construction & roading', 'machine operators']","[8, 9]"
15x chicken process wokers - immediate start,"['manufacturing & operations', 'process & assembly']","[20, 36]"
19/633 team leader advert,"['government & council', 'central government']","[37, 38]"
1x automotive refinisher & 1x panel technician,"['automotive', 'panel & paint']","[59, 157]"
1x full time butchery assistant / appenticeship,"['retail', 'retail assistants']","[71, 72]"
1x reach forklift wanted- $21 /hr 3pm shift,"['transport & logistics', 'warehouse & distribution']","[28, 81]"
2 class 5 truck driver required,"['transport & logistics', 'drivers & couriers', 'truck ht']","[28, 43, 44]"
2 pac spray painters - akl,"['trades & services', 'painting']","[0, 26]"
2 positions > skilled baker & talented chef,"['trades & services', 'butchers & bakers']","[0, 92]"
2 team players required for busy 3pl warehouse,"['transport & logistics', 'warehouse & distribution']","[28, 81]"
2 x bakery assistant part time,"['retail', 'retail assistants']","[71, 72]"
2 x chef (indian curry and tandoori),"['hospitality & tourism', 'chefs']","[14, 15]"
2. structural engineer $148-129k high quality?,"['engineering', 'civil & structural']","[47, 103]"
20 x experienced commercial carpenters,"['construction & roading', 'labouring']","[8, 66]"
20/007 team leader capability,"['government & council', 'central government']","[37, 38]"
20/046 senior business advisor,"['government & council', 'central government']","[37, 38]"
20/065 team administrator,"['government & council', 'central government']","[37, 38]"
20/073 project manager,"['government & council', 'central government']","[37, 38]"
20/203 team administrator,"['office & administration', 'administration']","[30, 31]"
20/255 reading services assistant,"['government & council', 'central government']","[37, 38]"
20/260 team leader serials cataloguing team,"['healthcare', 'management']","[22, 39]"
20/283 digitisation advisor,"['government & council', 'central government']","[37, 38]"
20/304 applications specialist,"['it', 'service desk']","[2, 45]"
2020 is here! need a change of employment?,"['trades & services', 'painting']","[0, 26]"
2020 training year - expressions of interest -,"['healthcare', 'doctors & specialists']","[22, 111]"
2021 - do you want to work from home?,"['education', 'early childhood']","[4, 69]"
2021 apple picking seasonal vacancies,"['agriculture, fishing & forestry', 'horticulture']","[34, 63]"
2021 interventional fellow,"['healthcare', 'doctors & specialists']","[22, 111]"
2021 new year new job,"['education', 'early childhood']","[4, 69]"
2021 paeds dentistry non-training registrar,"['healthcare', 'doctors & specialists']","[22, 111]"
2021 skilled packhouse team members - chb,"['manufacturing & operations', 'process & assembly']","[20, 36]"
2021 training year - house officers pgy2+,"['healthcare', 'doctors & specialists']","[22, 111]"
2021 training year haematology registrars,"['healthcare', 'doctors & specialists']","[22, 111]"
2021 training year sexual health registrars - aug,"['healthcare', 'doctors & specialists']","[22, 111]"
2021 west site packhouse & coolstore vacancies,"['manufacturing & operations', 'process & assembly']","[20, 36]"
2022 graduate civil/structural engineer - auckland,"['engineering', 'civil & structural']","[47, 103]"
2022 training year chemical pathology registrars,"['healthcare', 'doctors & specialists']","[22, 111]"
2022 training year medical oncology registrars,"['healthcare', 'doctors & specialists']","[22, 111]"
21/004 community advisor,"['government & council', 'central government']","[37, 38]"
21/155 senior strategic advisor,"['government & council', 'local & regional council']","[37, 109]"
21/162 administrator,"['office & administration', 'administration']","[30, 31]"
21/168 senior project manager - hr,"['accounting', 'payroll']","[10, 139]"
21/180 administration officer,"['office & administration', 'administration']","[30, 31]"
21/208 business partner,"['hr & recruitment', 'hr']","[76, 77]"
21/218 office coordinator,"['office & administration', 'administration']","[30, 31]"
21/252 director strategy and operational services,['executive & general management'],[73]
21/332 business support administrator,"['office & administration', 'administration']","[30, 31]"
21/338 senior advisor information and data,"['it', 'security']","[2, 56]"
2degrees rotorua - retail sales consultant,"['retail', 'retail assistants']","[71, 72]"
2ic - guest service agent - fixed term,"['hospitality & tourism', 'chefs']","[14, 15]"
2ic / general hand,"['agriculture, fishing & forestry', 'farming']","[34, 35]"
2ic fitter fabricator welder,"['manufacturing & operations', 'supervisors & forepersons']","[20, 70]"
2ic hair salon manager,"['trades & services', 'hairdressing']","[0, 130]"
2ic shepherd- glanworth farm.,"['agriculture, fishing & forestry', 'farming']","[34, 35]"
2ic sunglass style hamilton,"['retail', 'assistant store managers']","[71, 115]"
2ic – sheep & beef,"['agriculture, fishing & forestry', 'farming']","[34, 35]"
2nd chef,"['hospitality & tourism', 'chefs']","[14, 15]"
2nd factory engineer - fishing vessels,"['engineering', 'maintenance']","[47, 108]"
2nd mate deck officer purse seine fishing vessel,"['agriculture, fishing & forestry', 'fishing']","[34, 156]"
2nd or 3rd year building apprentice wanted,"['trades & services', 'building & carpentry']","[0, 33]"
2nd year apprentice,"['automotive', 'panel & paint']","[59, 157]"
2nd year apprentice/carpenter - marton/bulls area,"['trades & services', 'building & carpentry']","[0, 33]"
2nd year building apprentice,"['trades & services', 'building & carpentry']","[0, 33]"
2nd – 4th year apprentice builder,"['trades & services', 'building & carpentry']","[0, 33]"
2x jobs painter & prepper,"['automotive', 'panel & paint']","[59, 157]"
2x qualified vet nurses required,"['healthcare', 'veterinary']","[22, 80]"
3 waters engineer - hastings,"['engineering', 'civil & structural']","[47, 103]"
3 waters project manager - fixed term,"['engineering', 'project management']","[47, 48]"
3 waters reticulation supervisor,"['construction & roading', 'supervisors & forepersons']","[8, 70]"
"3-4 hr shifts in central auck, parking provided","['healthcare', 'caregiving']","[22, 23]"
3d full stack developer,"['it', 'programming & development']","[2, 65]"
3pl labeller operator - highbrook,"['transport & logistics', 'warehouse & distribution']","[28, 81]"
3x chicken process jobs - 3pm shift-mt wellington,"['manufacturing & operations', 'process & assembly']","[20, 36]"
3x temporary recruitment coordinator,"['hr & recruitment', 'recruitment']","[76, 88]"
4 environmental restoration landscaping positions,"['trades & services', 'gardening & landscaping']","[0, 104]"
4 seasons - sales consultant - full time - 2 roles,"['retail', 'retail assistants']","[71, 72]"
41926 social scientist - plant & food research,['science & technology'],[97]
4th engineer (mec3),"['transport & logistics', 'operations']","[28, 29]"
5 process workers wanted -mt wellington,"['manufacturing & operations', 'process & assembly']","[20, 36]"
5 tonne forklift operator,"['transport & logistics', 'warehouse & distribution']","[28, 81]"
5t excavator operator/ queenstown-lakes,"['construction & roading', 'machine operators']","[8, 9]"
5t forklift operator - days,"['transport & logistics', 'warehouse & distribution']","[28, 81]"
6 x process & quality control,"['manufacturing & operations', 'process & assembly']","[20, 36]"
6 x wheeler tipper driver,"['transport & logistics', 'drivers & couriers', 'truck ht']","[28, 43, 44]"
7x process jobs - am shift- handerson,"['manufacturing & operations', 'process & assembly']","[20, 36]"
9am-3.30pm factory worker mussel carton packer,"['manufacturing & operations', 'storepersons & warehousing']","[20, 64]"
a forklift driver with rotating forks experience!,"['manufacturing & operations', 'machine operation']","[20, 21]"
a passion for pharmacy?,"['healthcare', 'pharmacy']","[22, 25]"
a workshop hand,"['trades & services', 'labourers']","[0, 1]"
aaltopaint trade and retail sales person,"['sales', 'sales support']","[57, 148]"
abe's bagels - production baker,"['trades & services', 'butchers & bakers']","[0, 92]"
aborist opportunitities in rotorua,"['agriculture, fishing & forestry', 'forestry']","[34, 145]"
