x_title,cat,label
merchandiser - mangere,boat building,0
barista/cook cafe super star,bar staff baristas,1
customer experience consultant,customer-facing,1
hatchery operator,agriculture fishing forestry,1
educator,early childhood,1
certified driver,purchasing inventory,0
experience technician water,hospitality tourism,0
night shift welder fabricators wanted,financial accounting reporting,0
chilled food/produce assistant,customer service,0
welder / light fabricator,sales support,0
marketing co-ordinator e-commerce,marketing assistants coordinators,1
senior data scientist,secretarial,0
chartered senior geotechnical engineer manager,interior design,0
part time practice nurse - avonhead surgery,corporate institutional banking,0
mcdonalds shift supervisors department managers,planning,0
skilled labourer required for 6 weeks,labourers,1
healthcare assistant - radius althorp,healthcare,1
tauranga - driver / removalist,drivers couriers,1
barista full time,secondary,0
experienced personal assistant required,ea pa secretarial,1
third in charge - merchant dunedin,retail,1
supervalue waihi is opening soon,retail,1
primary health care nurse - fixed term,mechanical,0
relief teachers immediate start,planning,0
telecommunications technicians - mobile/cellular,water waste,0
technical support team leader,paediatrics,0
warehouse assistant / general labour,storepersons warehousing,1
class 5 linehaul position,truck ht,1
quantity surveyor - commercial projects,manufacturing operations,0
executive assistant and project coordinator,accountants,0
owner driver - wellington,cleaning,0
winery staff - marlborough,surveying,0
drainage operators,machine operators,1
receptionist - village,reception,1
office website administration,office administration,1
tapuhi tamariki ora,nursing midwifery,1
workshop and customer service manager,management,1
experienced spray painter or trainee,panel paint,1
experienced kitchen staff,tutoring training,0
clinical manager - queenstown,healthcare,1
bar and gaming managervenue manager,service desk,0
forestry worker required,mental health,0
full time interior design/ sales consultant,retail,1
we need carpenters,hr recruitment,0
2ic shepherd- glanworth farm,early childhood,0
og registrar commencing january 2022,healthcare,1
sales and design engineer,freight forwarders,0
project engineer,sales support,0
hampton parrc manager,management,0
dietitian- tupu ora regional eating disorders,project contracts management,0
health and safety advisor - national,health safety,1
driver filler - christchurch,drivers couriers,1
stainless steel fabricator,analysts,0
skilled labourers - construction,audit,0
drug and alcohol residential support worker,healthcare,1
cafe foh required for weekends,bar staff baristas,1
labourer/trainee truck driver/excavator operator,fitness wellbeing,0
coloursteel installer,in-house counsel,0
class 4-5 driver with hiab - tauranga,transport logistics,1
amazing opportunities at school of fish,reception front desk,0
receptionist hr support - fixed term,client services,0
system administrator - level 1 or level 2,merchandising,0
plumber/drainlayer,call centre,0
hseq advisor,engineering,1
lead installer/ site manager,data warehousing bi,0
people and culture administrator,administration,1
maintenance engineer mataura,engineering,1
bus operator - auckland,housekeeping,0
arborist - hamilton and waikato region,forestry,1
obstetric medicine fellow - womens health fixed,sales reps,0
truss and frame worker,building carpentry,1
property auction consultants - new zealand wide,residential sales management,1
people delivery manager,healthcare,1
civil operator,construction roading,1
receptionist - weekends,office administration,1
compliance officers,gardening landscaping,0
casual health care assistants - north shore,caregiving,1
restaurant management - napier,hospitality tourism,1
kitchenhands christchurch essential,hospitality tourism,1
contracts manager,management,1
purchasing officer - fmcg manufacturing,purchasing inventory,1
operator,construction roading,1
registered ece teacher and teacher in training,early childhood,1
21/180 administration officer,administration,1
instructional designer - fixed-term for 12 months,hr,1
customer service - product base,healthcare,0
senior partner - business,security,0
delivery drivers class 2 and 4,recruitment,0
intermediate planner,government council,1
customer service representative - part time north,customer service,1
experienced retail sales assistant,butchers bakers,0
forklift driver - immediate start - hornby,client services,0
production operators day night shifts,reception,0
heavy diesel mechanic - awesome roster,diesel mechanic,1
operational support,labouring,0
consultant psychiatrist - mental health services,office management,0
agri manager golden bay,fishing,0
events technician - audio,reception front desk,1
parts specialist nelson,sales operations parts,1
butchery assistants,butchers bakers,1
kaiawhina hauora health care assistant the,consultancy valuation,0
essential services - residential chef,chefs,1
scrubber extraordinair,commercial sales leasing,0
community mental health nurse - triage,healthcare,1
have you got grouting experience,trades services,1
office / operations administrator,engineering,0
field service technician,trades services,1
corporate finance manager,functional consultants,0
experienced builder / carpenter / contractor,trades services,1
unit manager - scott base,market research analysis,0
senior systems engineer implementation,systems engineers,1
assembly and light engineering workers x7,environmental,0
inv hammerhands,accounting,0
merchandiser - hawera,merchandising,1
oia adviser,banking finance insurance,1
digital recruitment marketing manager,data entry,0
accounts payable administrator,secretarial,0
aerial / sky tv technician,diesel mechanic,0
trades assistant - plumbing industry,digital marketing,0
casual healthcare staff - northland,healthcare,1
part-time retail assistant,purchasing inventory,0
early childhood teacher - palmerston north,education,1
horticulture assistant farm supervisor,service desk,0
public areas cleaner,cleaning,1
senior recruitment consultant - white collar,travel consultants,0
forklift driver,waiting staff,0
on-site welder,boilermakers welders,1
resource consents co-ordinator,site management,0
barista retail role magnetix,sign writers,0
junior auditor,accounting,1
front end web developer vue / react / azure,kitchen staff,0
class 2 hiab driver,programming development,0
mental health professional - icafs,mental health,1
class 2 driver - night shift,freight forwarders,0
yard port operations christchurch,psychology counselling,0
account manager - bidfood wellington,analysts,0
inwards goods - cbd,housekeeping,0
residential cleaning - edgeware,trades services,1
digger/excavator operator wanted x 5,construction roading,1
mobile tyre fitter - taupo,tax,0
unit coordinator - hayman wiri,nursing midwifery,1
purchasing officer,administration,1
registered ece teacher,import export,0
civil drafting technician,drafting,1
registered nurse orthopaedic unit,surgical,1
policy operations consultant contract,freight forwarders,0
class 2 driver - 20hrs per week,drivers couriers,1
customer service representative,building carpentry,0
in room dining manager,programming development,0
ece educator/teacher,early childhood,1
heavy vehicle spray painter,automotive,1
quantity surveyor pqs - senior,department managers,0
warehouse assistant manager,assistant accountants,0
projects manager - learning development,labourers,0
quality manager,tertiary,0
reinstatement repair builders,geotechnical,0
trade sales person,education,0
metal fabricators welders,direct marketing,0
machine / mobile crusher / power screen operator,secondary,0
painters brush hands for an immediate start,trades services,1
advertising sales earn over 1500 pw work at home,accounts administrators,0
senior accountant,energy,0
grocery morning fill - full time,retail,1
branch manager - mt wellington,client services,0
sign maker/graphic designer,private practice,0
furniture movers,operations,1
service desk engineer - level 2-3,it,1
cable jointer /fibre installation technician,telecommunications,1
front end developer,programming development,1
excavator operator - takaka hill,account management,0
investment specialist,customer service,1
ict procurement category manager,facilities commercial property management,0
executive officer,hr,0
centre manager,early childhood,1
directional driller,import export,0
customer service representative,customer-facing,1
data network specialist,it,1
class 4 truck driver - central otago,transport logistics,1
class 5 - drivers,tutoring training,0
experienced metal roofers waikato,market research analysis,0
new graduate midwife,nursing midwifery,1
tradesman required for portable building assembly,process assembly,1
hvac techincians,trades services,1
construction workers,construction roading,1
panadero pastry cook/chef,chefs,1
customer service/beauty therapist,chefs,0
calling all class 4 drivers,education,0
senior ruby developer,tax,0
part time stylist hamilton,architecture,0
site engineer hamilton / tauranga,telecommunications,0
registered nurse warkworth,operations,0
clinical nurse manager outpatients department,retail,0
project support and administrator,accountants,0
health and beauty assistant - full time,retail,1
office administrator / receptionist,payroll,0
excavator operators,construction roading,1
occupational therapist / kaiwhakaora ngangahau,occupational therapy,1
specialist manager modern work,industrial,0
